詩經韻腳字,上古韻部,廣韻字頭,中古韻部,中原音韻字頭,近代韻部
卒,上古：物,𢊕,中古：東,裝,近代：江陽
述,上古：物,通,中古：東,樁,近代：江陽
暴,上古：藥,蓪,中古：東,岡,近代：江陽
笑,上古：宵,侗,中古：東,剛,近代：江陽
敖,上古：宵,恫,中古：東,鋼,近代：江陽
悼,上古：藥,痌,中古：東,綱,近代：江陽
霾,上古：之,曈,中古：東,缸,近代：江陽
來,上古：之,俑,中古：東,扛,近代：江陽
來,上古：之,𧳆,中古：東,玒,近代：江陽
思,上古：之,𨀜,中古：東,亢,近代：江陽
曀,上古：質,葼,中古：東,康,近代：江陽
曀,上古：質,鬷,中古：東,糠,近代：江陽
嚏,上古：質,嵕,中古：東,光,近代：江陽
雷,上古：微,猣,中古：東,胱,近代：江陽
懷,上古：微,豵,中古：東,當,近代：江陽
鏜,上古：陽,鯼,中古：東,璫,近代：江陽
兵,上古：陽,椶,中古：東,簹,近代：江陽
行,上古：陽,騣,中古：東,襠,近代：江陽
仲,上古：侵,𩮰,中古：東,��,近代：江陽
宋,上古：侵,䗥,中古：東,荒,近代：江陽
忡,上古：侵,嵸,中古：東,��,近代：江陽
處,上古：魚,艐,中古：東,肓,近代：江陽
馬,上古：魚,蝬,中古：東,香,近代：江陽
下,上古：魚,堫,中古：東,鄉,近代：江陽
闊,上古：月,𥓻,中古：東,鎊,近代：江陽
說,上古：月,翪,中古：東,滂,近代：江陽
手,上古：幽,緵,中古：東,腔,近代：江陽
老,上古：幽,㚇,中古：東,谾,近代：江陽
闊,上古：月,㣭,中古：東,��,近代：江陽
活,上古：月,稯,中古：東,羗,近代：江陽
洵,上古：真,鬉,中古：東,鴦,近代：江陽
信,上古：真,蓬,中古：東,央,近代：江陽
南,上古：侵,𥭗,中古：東,殃,近代：江陽
心,上古：侵,篷,中古：東,秧,近代：江陽
夭,上古：宵,髼,中古：東,泱,近代：江陽
勞,上古：宵,蜂,中古：東,方,近代：江陽
薪,上古：真,芃,中古：東,芳,近代：江陽
人,上古：真,𧚋,中古：東,枋,近代：江陽
下,上古：魚,韸,中古：東,妨,近代：江陽
苦,上古：魚,䮾,中古：東,坊,近代：江陽
音,上古：侵,𩖛,中古：東,肪,近代：江陽
心,上古：侵,烘,中古：東,昌,近代：江陽
羽,上古：魚,叿,中古：東,猖,近代：江陽
阻,上古：魚,魟,中古：東,娼,近代：江陽
音,上古：侵,谾,中古：東,菖,近代：江陽
心,上古：侵,𩐠,中古：東,閶,近代：江陽
思,上古：之,𩗄,中古：東,湯,近代：江陽
來,上古：之,㟅,中古：東,鏜,近代：江陽
行,上古：陽,𣞷,中古：東,搶,近代：江陽
臧,上古：陽,𢤄,中古：東,鏘,近代：江陽
葉,上古：葉,㬝,中古：東,蹡,近代：江陽
涉,上古：葉,冬,中古：冬,匡,近代：江陽
厲,上古：月,𠔙,中古：冬,湘,近代：江陽
揭,上古：月,苳,中古：冬,廂,近代：江陽
盈,上古：耕,鴤,中古：冬,筐,近代：江陽
鳴,上古：耕,笗,中古：冬,相,近代：江陽
軌,上古：幽,𩂓,中古：冬,眶,近代：江陽
牡,上古：幽,𧲴,中古：冬,箱,近代：江陽
雁,上古：元,彤,中古：冬,襄,近代：江陽
旦,上古：元,疼,中古：冬,驤,近代：江陽
泮,上古：元,佟,中古：冬,汪,近代：江陽
子,上古：之,炵,中古：冬,尫,近代：江陽
否,上古：之,䳋,中古：冬,倉,近代：江陽
否,上古：之,鼕,中古：冬,蒼,近代：江陽
友,上古：之,𢥞,中古：冬,牎,近代：江陽
風,上古：侵,𢾮,中古：冬,瘡,近代：江陽
雨,上古：魚,爞,中古：冬,贓,近代：江陽
心,上古：侵,㤏,中古：冬,臧,近代：江陽
怒,上古：魚,痋,中古：冬,陽,近代：江陽
菲,上古：微,䂈,中古：冬,揚,近代：江陽
體,上古：脂,鉵,中古：冬,楊,近代：江陽
違,上古：微,𧹝,中古：冬,暘,近代：江陽
死,上古：脂,𩦶,中古：冬,昜,近代：江陽
違,上古：微,浵,中古：冬,颺,近代：江陽
畿,上古：微,䶱,中古：冬,羊,近代：江陽
薺,上古：脂,𠩁,中古：冬,徉,近代：江陽
弟,上古：脂,鉖,中古：冬,佯,近代：江陽
止,上古：之,𨜳,中古：冬,洋,近代：江陽
以,上古：之,㠽,中古：冬,忙,近代：江陽
笱,上古：侯,赨,中古：冬,茫,近代：江陽
後,上古：侯,賨,中古：冬,邙,近代：江陽
舟,上古：幽,琮,中古：冬,芒,近代：江陽
遊,上古：幽,悰,中古：冬,鋩,近代：江陽
求,上古：幽,潀,中古：冬,⿰口厖,近代：江陽
救,上古：幽,淙,中古：冬,⿰犭厖,近代：江陽
讎,上古：幽,慒,中古：冬,厖,近代：江陽
售,上古：幽,鬃,中古：冬,粮,近代：江陽
鞫,上古：覺,㼻,中古：冬,良,近代：江陽
覆,上古：覺,孮,中古：冬,凉,近代：江陽
育,上古：覺,誴,中古：冬,綡,近代：江陽
毒,上古：覺,𢃏,中古：冬,輬,近代：江陽
冬,上古：侵,農,中古：冬,梁,近代：江陽
窮,上古：侵,䢉,中古：冬,梁,近代：江陽
潰,上古：物,辳,中古：冬,量,近代：江陽
肄,上古：質,𨑋,中古：冬,禳,近代：江陽
塈,上古：物,𩟊,中古：冬,穰,近代：江陽
微,上古：微,噥,中古：冬,瀼,近代：江陽
歸,上古：微,𩅽,中古：冬,瓤,近代：江陽
故,上古：魚,憹,中古：冬,忘,近代：江陽
露,上古：鐸,㺜,中古：冬,亡,近代：江陽
微,上古：微,儂,中古：冬,郎,近代：江陽
歸,上古：微,𧗕,中古：冬,榔,近代：江陽
躬,上古：侵,膿,中古：冬,廊,近代：江陽
中,上古：侵,攻,中古：冬,螂,近代：江陽
葛,上古：月,釭,中古：冬,稂,近代：江陽
節,上古：質,䃔,中古：冬,浪,近代：江陽
日,上古：質,洚,中古：冬,琅,近代：江陽
處,上古：魚,㗢,中古：冬,狼,近代：江陽
與,上古：魚,𩘎,中古：冬,杭,近代：江陽
久,上古：之,䃧,中古：冬,行,近代：江陽
以,上古：之,𪔢,中古：冬,頏,近代：江陽
茸,上古：東,𣫣,中古：冬,航,近代：江陽
東,上古：東,宗,中古：冬,昂,近代：江陽
同,上古：東,倧,中古：冬,卬,近代：江陽
子,上古：之,鬆,中古：冬,床,近代：江陽
耳,上古：之,䯳,中古：冬,幢,近代：江陽
舞,上古：魚,炵,中古：冬,撞,近代：江陽
