詩經韻腳字,上古韻部,廣韻字頭,中古韻部,中原音韻字頭,近代韻部
,,趫,中古：宵B,,
,,𢄹,中古：宵B,,
,,橇,中古：宵B,,
,,鞽,中古：宵B,,
,,肴,中古：肴,,
,,餚,中古：肴,,
,,崤,中古：肴,,
,,𦺔,中古：肴,,
,,殽,中古：肴,,
,,洨,中古：肴,,
,,筊,中古：肴,,
,,姣,中古：肴,,
,,猇,中古：肴,,
,,㮁,中古：肴,,
,,爻,中古：肴,,
,,淆,中古：肴,,
,,笅,中古：肴,,
,,㬵,中古：肴,,
,,𨠦,中古：肴,,
,,䋂,中古：肴,,
,,倄,中古：肴,,
,,㤊,中古：肴,,
,,䂚,中古：肴,,
,,交,中古：肴,,
,,蛟,中古：肴,,
,,茭,中古：肴,,
,,鵁,中古：肴,,
,,膠,中古：肴,,
,,鮫,中古：肴,,
,,咬,中古：肴,,
,,郊,中古：肴,,
,,䍊,中古：肴,,
,,轇,中古：肴,,
,,㶀,中古：肴,,
,,䢒,中古：肴,,
,,教,中古：肴,,
,,䉰,中古：肴,,
,,𥹜,中古：肴,,
,,摎,中古：肴,,
,,鉸,中古：肴,,
,,佼,中古：肴,,
,,𦫶,中古：肴,,
,,詨,中古：肴,,
,,嘐,中古：肴,,
,,𩎔,中古：肴,,
,,巢,中古：肴,,
,,轈,中古：肴,,
,,勦,中古：肴,,
,,𡻝,中古：肴,,
,,𣝞,中古：肴,,
,,樔,中古：肴,,
,,𡏮,中古：肴,,
,,鄛,中古：肴,,
,,鐃,中古：肴,,
,,呶,中古：肴,,
,,譊,中古：肴,,
,,怓,中古：肴,,
,,䴃,中古：肴,,
,,𣲿,中古：肴,,
,,䃩,中古：肴,,
,,𡽧,中古：肴,,
,,㺜,中古：肴,,
,,梢,中古：肴,,
,,捎,中古：肴,,
,,髾,中古：肴,,
,,輎,中古：肴,,
,,旓,中古：肴,,
,,弰,中古：肴,,
,,䈰,中古：肴,,
,,筲,中古：肴,,
,,鞘,中古：肴,,
,,蛸,中古：肴,,
,,鮹,中古：肴,,
,,䘯,中古：肴,,
,,綃,中古：肴,,
,,颵,中古：肴,,
,,莦,中古：肴,,
,,娋,中古：肴,,
,,𡡏,中古：肴,,
,,茅,中古：肴,,
,,蝥,中古：肴,,
,,貓,中古：肴,,
,,犛,中古：肴,,
,,罞,中古：肴,,
,,鶜,中古：肴,,
,,描,中古：肴,,
,,媌,中古：肴,,
,,虓,中古：肴,,
,,猇,中古：肴,,
,,髇,中古：肴,,
,,藃,中古：肴,,
,,穘,中古：肴,,
,,窙,中古：肴,,
,,嗃,中古：肴,,
,,䬘,中古：肴,,
,,哮,中古：肴,,
,,庨,中古：肴,,
,,灱,中古：肴,,
,,涍,中古：肴,,
,,嘐,中古：肴,,
,,顤,中古：肴,,
,,𩾾,中古：肴,,
,,㹲,中古：肴,,
,,包,中古：肴,,
,,胞,中古：肴,,
,,枹,中古：肴,,
,,苞,中古：肴,,
,,勹,中古：肴,,
,,胞,中古：肴,,
,,𨚔,中古：肴,,
,,䍖,中古：肴,,
,,脬,中古：肴,,
,,拋,中古：肴,,
,,泡,中古：肴,,
,,𠐋,中古：肴,,
,,𢿏,中古：肴,,
,,𦫶,中古：肴,,
,,敲,中古：肴,,
,,跤,中古：肴,,
,,骹,中古：肴,,
,,𥉾,中古：肴,,
,,㤍,中古：肴,,
,,磽,中古：肴,,
,,䂭,中古：肴,,
,,礉,中古：肴,,
,,鄗,中古：肴,,
,,墝,中古：肴,,
,,頝,中古：肴,,
,,聱,中古：肴,,
,,謷,中古：肴,,
,,磝,中古：肴,,
,,𢿣,中古：肴,,
,,𦗔,中古：肴,,
,,罺,中古：肴,,
,,抓,中古：肴,,
,,𠿈,中古：肴,,
,,摷,中古：肴,,
,,嘲,中古：肴,,
,,䞴,中古：肴,,
,,啁,中古：肴,,
,,鳭,中古：肴,,
,,鵃,中古：肴,,
,,䜈,中古：肴,,
,,抄,中古：肴,,
,,鈔,中古：肴,,
,,𦾱,中古：肴,,
,,訬,中古：肴,,
,,䰫,中古：肴,,
,,庖,中古：肴,,
,,咆,中古：肴,,
,,匏,中古：肴,,
,,炮,中古：肴,,
,,炰,中古：肴,,
,,鉋,中古：肴,,
,,瓟,中古：肴,,
,,麃,中古：肴,,
,,掊,中古：肴,,
,,颮,中古：肴,,
,,鞄,中古：肴,,
,,狍,中古：肴,,
,,跑,中古：肴,,
,,捊,中古：肴,,
,,尥,中古：肴,,
,,泡,中古：肴,,
,,㯡,中古：肴,,
,,䫜,中古：肴,,
,,㕭,中古：肴,,
,,坳,中古：肴,,
,,窅,中古：肴,,
,,軪,中古：肴,,
,,眑,中古：肴,,
,,咬,中古：肴,,
,,梎,中古：肴,,
,,𠣑,中古：肴,,
,,䫸,中古：肴,,
,,嘮,中古：肴,,
,,顟,中古：肴,,
,,𠐋,中古：肴,,
,,窌,中古：肴,,
,,賿,中古：肴,,
,,䄻,中古：肴,,
,,豪,中古：豪,,
,,號,中古：豪,,
,,毫,中古：豪,,
,,嗥,中古：豪,,
,,獆,中古：豪,,
,,濠,中古：豪,,
,,壕,中古：豪,,
,,䫧,中古：豪,,
,,𣘫,中古：豪,,
,,崤,中古：豪,,
,,𨚙,中古：豪,,
,,𠢕,中古：豪,,
,,𨼍,中古：豪,,
,,高,中古：豪,,
,,膏,中古：豪,,
,,皐,中古：豪,,
,,皋,中古：豪,,
,,羔,中古：豪,,
,,餻,中古：豪,,
,,㟸,中古：豪,,
,,櫜,中古：豪,,
,,咎,中古：豪,,
,,鼛,中古：豪,,
,,鷎,中古：豪,,
,,篙,中古：豪,,
,,槔,中古：豪,,
,,䚌,中古：豪,,
,,䔌,中古：豪,,
,,㤒,中古：豪,,
,,䆁,中古：豪,,
,,𣓌,中古：豪,,
,,倃,中古：豪,,
,,䓘,中古：豪,,
,,䣗,中古：豪,,
,,勞,中古：豪,,
,,澇,中古：豪,,
,,牢,中古：豪,,
,,窂,中古：豪,,
,,簩,中古：豪,,
,,䝁,中古：豪,,
,,𧰉,中古：豪,,
,,蟧,中古：豪,,
,,醪,中古：豪,,
,,撈,中古：豪,,
,,㟉,中古：豪,,
,,㗦,中古：豪,,
,,髝,中古：豪,,
,,憥,中古：豪,,
,,𦗖,中古：豪,,
,,䜮,中古：豪,,
,,𨦭,中古：豪,,
,,𤩂,中古：豪,,
,,嫪,中古：豪,,
,,哰,中古：豪,,
,,𣘪,中古：豪,,
,,簝,中古：豪,,
,,蒿,中古：豪,,
,,䜰,中古：豪,,
,,撓,中古：豪,,
,,薧,中古：豪,,
,,薅,中古：豪,,
,,茠,中古：豪,,
,,𣐾,中古：豪,,
,,毛,中古：豪,,
,,髦,中古：豪,,
,,芼,中古：豪,,
,,𣹪,中古：豪,,
,,旄,中古：豪,,
,,氂,中古：豪,,
,,㮘,中古：豪,,
,,枆,中古：豪,,
,,酕,中古：豪,,
,,堥,中古：豪,,
,,饕,中古：豪,,
,,洮,中古：豪,,
,,韜,中古：豪,,
,,縚,中古：豪,,
,,謟,中古：豪,,
,,滔,中古：豪,,
,,叨,中古：豪,,
,,弢,中古：豪,,
,,𩥓,中古：豪,,
,,㹗,中古：豪,,
,,𤘸,中古：豪,,
,,慆,中古：豪,,
,,絛,中古：豪,,
,,幍,中古：豪,,
,,𠌪,中古：豪,,
,,槄,中古：豪,,
,,蜪,中古：豪,,
,,夲,中古：豪,,
,,𠦂,中古：豪,,
,,綢,中古：豪,,
,,搯,中古：豪,,
,,翢,中古：豪,,
,,瑫,中古：豪,,
,,𠬢,中古：豪,,
,,䈱,中古：豪,,
,,𠚡,中古：豪,,
,,詜,中古：豪,,
,,挑,中古：豪,,
,,刀,中古：豪,,
,,魛,中古：豪,,
,,忉,中古：豪,,
,,裯,中古：豪,,
,,舠,中古：豪,,
,,𩕯,中古：豪,,
,,朷,中古：豪,,
,,騷,中古：豪,,
,,搔,中古：豪,,
,,繅,中古：豪,,
,,繰,中古：豪,,
,,臊,中古：豪,,
,,鰠,中古：豪,,
,,溞,中古：豪,,
,,颾,中古：豪,,
,,鱢,中古：豪,,
,,㮴,中古：豪,,
,,艘,中古：豪,,
,,𠋺,中古：豪,,
,,慅,中古：豪,,
,,袍,中古：豪,,
,,袌,中古：豪,,
,,軳,中古：豪,,
,,襃,中古：豪,,
,,褒,中古：豪,,
,,𠅬,中古：豪,,
,,𨚔,中古：豪,,
,,陶,中古：豪,,
,,䛬,中古：豪,,
,,䛌,中古：豪,,
,,咷,中古：豪,,
,,桃,中古：豪,,
,,綯,中古：豪,,
,,燾,中古：豪,,
,,逃,中古：豪,,
,,鼗,中古：豪,,
,,鞀,中古：豪,,
,,鞉,中古：豪,,
,,濤,中古：豪,,
,,掏,中古：豪,,
,,檮,中古：豪,,
,,騊,中古：豪,,
,,萄,中古：豪,,
,,翿,中古：豪,,
,,䬞,中古：豪,,
,,匋,中古：豪,,
,,啕,中古：豪,,
,,翢,中古：豪,,
,,錭,中古：豪,,
,,駣,中古：豪,,
,,蜪,中古：豪,,
,,裪,中古：豪,,
,,糟,中古：豪,,
,,𦵩,中古：豪,,
,,醩,中古：豪,,
,,遭,中古：豪,,
,,㷮,中古：豪,,
,,槽,中古：豪,,
,,傮,中古：豪,,
,,𣩒,中古：豪,,
,,㡟,中古：豪,,
,,敖,中古：豪,,
,,遨,中古：豪,,
,,翱,中古：豪,,
,,聱,中古：豪,,
,,驁,中古：豪,,
,,熬,中古：豪,,
,,嶅,中古：豪,,
,,獒,中古：豪,,
,,滶,中古：豪,,
,,蔜,中古：豪,,
,,鷔,中古：豪,,
,,鼇,中古：豪,,
,,螯,中古：豪,,
,,謷,中古：豪,,
,,嗸,中古：豪,,
,,嗷,中古：豪,,
,,䫨,中古：豪,,
,,𢧴,中古：豪,,
,,摮,中古：豪,,
,,嫯,中古：豪,,
,,䦋,中古：豪,,
,,𣘢,中古：豪,,
,,𦪈,中古：豪,,
,,𩪋,中古：豪,,
,,鰲,中古：豪,,
,,曹,中古：豪,,
,,𣍘,中古：豪,,
,,槽,中古：豪,,
,,螬,中古：豪,,
,,嘈,中古：豪,,
,,鐰,中古：豪,,
,,䄚,中古：豪,,
,,艚,中古：豪,,
,,䏆,中古：豪,,
,,𩫥,中古：豪,,
,,䐬,中古：豪,,
,,蓸,中古：豪,,
,,漕,中古：豪,,
,,褿,中古：豪,,
,,𤏶,中古：豪,,
,,䥝,中古：豪,,
,,鏖,中古：豪,,
,,猱,中古：豪,,
,,㺜,中古：豪,,
,,𤣜,中古：豪,,
,,巎,中古：豪,,
,,嶩,中古：豪,,
,,峱,中古：豪,,
,,𤫕,中古：豪,,
,,獿,中古：豪,,
,,尻,中古：豪,,
,,訄,中古：豪,,
,,操,中古：豪,,
,,幧,中古：豪,,
,,𢿾,中古：豪,,
,,㡟,中古：豪,,
,,㯱,中古：豪,,
,,藨,中古：豪,,
,,䫽,中古：豪,,
,,㲏,中古：豪,,
,,歌,中古：歌,,
,,謌,中古：歌,,
,,柯,中古：歌,,
,,妿,中古：歌,,
,,㤎,中古：歌,,
,,渮,中古：歌,,
,,牁,中古：歌,,
,,戕,中古：歌,,
,,滒,中古：歌,,
,,哥,中古：歌,,
,,鴚,中古：歌,,
,,蹉,中古：歌,,
,,瑳,中古：歌,,
,,搓,中古：歌,,
,,磋,中古：歌,,
,,溠,中古：歌,,
,,傞,中古：歌,,
,,𪘓,中古：歌,,
,,多,中古：歌,,
,,𦰿,中古：歌,,
,,𦷛,中古：歌,,
,,娑,中古：歌,,
,,挱,中古：歌,,
,,挲,中古：歌,,
,,傞,中古：歌,,
,,𩊮,中古：歌,,
,,獻,中古：歌,,
,,䓾,中古：歌,,
,,𠈱,中古：歌,,
,,桫,中古：歌,,
,,䤬,中古：歌,,
,,𥆝,中古：歌,,
,,駝,中古：歌,,
,,駞,中古：歌,,
,,鼉,中古：歌,,
,,𡩆,中古：歌,,
,,紽,中古：歌,,
,,鮀,中古：歌,,
,,陀,中古：歌,,
,,驒,中古：歌,,
,,䍫,中古：歌,,
,,沱,中古：歌,,
,,跎,中古：歌,,
,,詑,中古：歌,,
,,池,中古：歌,,
,,酡,中古：歌,,
,,㼠,中古：歌,,
,,馱,中古：歌,,
,,迱,中古：歌,,
,,鼧,中古：歌,,
,,袉,中古：歌,,
,,𩉺,中古：歌,,
,,䡐,中古：歌,,
,,𧕛,中古：歌,,
,,佗,中古：歌,,
,,醝,中古：歌,,
,,㽨,中古：歌,,
,,瘥,中古：歌,,
,,䣜,中古：歌,,
,,𣩈,中古：歌,,
,,鹺,中古：歌,,
,,嵯,中古：歌,,
,,蒫,中古：歌,,
,,𥰭,中古：歌,,
,,艖,中古：歌,,
,,蔖,中古：歌,,
,,䴾,中古：歌,,
,,䑘,中古：歌,,
,,䠡,中古：歌,,
,,躦,中古：歌,,
,,虘,中古：歌,,
,,𪘓,中古：歌,,
,,齹,中古：歌,,
,,䰈,中古：歌,,
,,莪,中古：歌,,
,,哦,中古：歌,,
,,娥,中古：歌,,
,,䄉,中古：歌,,
,,峨,中古：歌,,
,,鵝,中古：歌,,
,,俄,中古：歌,,
,,𩒰,中古：歌,,
,,蛾,中古：歌,,
,,睋,中古：歌,,
,,涐,中古：歌,,
,,誐,中古：歌,,
,,硪,中古：歌,,
,,佗,中古：歌,,
,,他,中古：歌,,
,,拕,中古：歌,,
,,它,中古：歌,,
,,蛇,中古：歌,,
,,痑,中古：歌,,
,,鼧,中古：歌,,
,,羅,中古：歌,,
,,蘿,中古：歌,,
,,籮,中古：歌,,
,,儸,中古：歌,,
,,饠,中古：歌,,
,,𤄷,中古：歌,,
,,欏,中古：歌,,
,,囉,中古：歌,,
,,鑼,中古：歌,,
,,剆,中古：歌,,
,,那,中古：歌,,
,,㔮,中古：歌,,
,,𤘟,中古：歌,,
,,挪,中古：歌,,
,,儺,中古：歌,,
,,𠹈,中古：歌,,
,,𡖔,中古：歌,,
,,𩴓,中古：歌,,
,,臡,中古：歌,,
,,何,中古：歌,,
,,河,中古：歌,,
,,荷,中古：歌,,
,,菏,中古：歌,,
,,苛,中古：歌,,
,,蚵,中古：歌,,
,,魺,中古：歌,,
,,訶,中古：歌,,
,,呵,中古：歌,,
,,𩑸,中古：歌,,
,,㱒,中古：歌,,
,,抲,中古：歌,,
,,珂,中古：歌,,
,,𠳌,中古：歌,,
,,䯊,中古：歌,,
,,軻,中古：歌,,
,,阿,中古：歌,,
,,娿,中古：歌,,
,,痾,中古：歌,,
,,妸,中古：歌,,
,,妿,中古：歌,,
,,䋪,中古：歌,,
,,鈳,中古：歌,,
,,戈,中古：歌,,
,,過,中古：歌,,
,,渦,中古：歌,,
,,鍋,中古：歌,,
,,𨍋,中古：歌,,
,,楇,中古：歌,,
,,瘑,中古：歌,,
,,㽿,中古：歌,,
,,𩰫,中古：歌,,
,,𩰬,中古：歌,,
,,㗻,中古：歌,,
,,緺,中古：歌,,
,,堝,中古：歌,,
,,𩾷,中古：歌,,
,,𧒖,中古：歌,,
,,遳,中古：歌,,
,,𨹄,中古：歌,,
,,𣑫,中古：歌,,
,,莎,中古：歌,,
,,魦,中古：歌,,
,,莏,中古：歌,,
,,𢘿,中古：歌,,
,,趖,中古：歌,,
,,蓑,中古：歌,,
,,唆,中古：歌,,
,,𧨀,中古：歌,,
,,髿,中古：歌,,
,,梭,中古：歌,,
,,𣜤,中古：歌,,
,,㛗,中古：歌,,
,,婆,中古：歌,,
,,媻,中古：歌,,
,,鄱,中古：歌,,
,,皤,中古：歌,,
,,𩕏,中古：歌,,
,,繁,中古：歌,,
,,搫,中古：歌,,
,,蔢,中古：歌,,
,,碆,中古：歌,,
,,㸰,中古：歌,,
,,碢,中古：歌,,
,,堶,中古：歌,,
,,摩,中古：歌,,
,,𩞁,中古：歌,,
,,𥂓,中古：歌,,
,,𡡉,中古：歌,,
,,魔,中古：歌,,
,,䯢,中古：歌,,
,,磨,中古：歌,,
,,劘,中古：歌,,
,,𦟟,中古：歌,,
,,𦣆,中古：歌,,
,,䭩,中古：歌,,
,,矬,中古：歌,,
,,痤,中古：歌,,
,,銼,中古：歌,,
,,㭫,中古：歌,,
,,睉,中古：歌,,
,,訛,中古：歌,,
,,譌,中古：歌,,
,,吪,中古：歌,,
,,鈋,中古：歌,,
,,囮,中古：歌,,
,,魤,中古：歌,,
,,𠂬,中古：歌,,
,,詑,中古：歌,,
,,𧦭,中古：歌,,
,,涶,中古：歌,,
,,䛢,中古：歌,,
,,䜏,中古：歌,,
,,𩼊,中古：歌,,
,,摞,中古：歌,,
,,騾,中古：歌,,
,,驘,中古：歌,,
,,𦿌,中古：歌,,
,,鸁,中古：歌,,
,,𣜄,中古：歌,,
,,螺,中古：歌,,
,,蠃,中古：歌,,
,,𥢵,中古：歌,,
,,𥡜,中古：歌,,
,,𧄿,中古：歌,,
,,𨰠,中古：歌,,
,,覼,中古：歌,,
,,腡,中古：歌,,
,,蠡,中古：歌,,
,,捼,中古：歌,,
,,䎠,中古：歌,,
,,波,中古：歌,,
,,皤,中古：歌,,
,,紴,中古：歌,,
,,嶓,中古：歌,,
,,番,中古：歌,,
,,碆,中古：歌,,
,,頗,中古：歌,,
,,坡,中古：歌,,
,,𨸭,中古：歌,,
,,玻,中古：歌,,
,,和,中古：歌,,
,,咊,中古：歌,,
,,𤖱,中古：歌,,
,,禾,中古：歌,,
,,龢,中古：歌,,
,,鉌,中古：歌,,
,,䒩,中古：歌,,
,,㗻,中古：歌,,
,,盉,中古：歌,,
,,科,中古：歌,,
,,窠,中古：歌,,
,,薖,中古：歌,,
,,稞,中古：歌,,
,,萪,中古：歌,,
,,蝌,中古：歌,,
,,㸰,中古：歌,,
,,犐,中古：歌,,
,,課,中古：歌,,
,,簻,中古：歌,,
,,䈖,中古：歌,,
,,㽿,中古：歌,,
,,髁,中古：歌,,
,,𠏀,中古：歌,,
,,倭,中古：歌,,
,,濄,中古：歌,,
,,渦,中古：歌,,
,,涹,中古：歌,,
,,𡑟,中古：歌,,
,,踒,中古：歌,,
,,𥟿,中古：歌,,
,,鞾,中古：歌,,
,,靴,中古：歌,,
,,𢪎,中古：歌,,
,,㗾,中古：歌,,
,,𦚢,中古：歌,,
,,𠏃,中古：歌,,
,,𩨷,中古：歌,,
,,𩨭,中古：歌,,
,,伽,中古：歌,,
,,茄,中古：歌,,
,,枷,中古：歌,,
,,佉,中古：歌,,
,,呿,中古：歌,,
,,㰦,中古：歌,,
,,𠋧,中古：歌,,
,,迦,中古：歌,,
,,脞,中古：歌,,
,,㛗,中古：歌,,
,,侳,中古：歌,,
,,𩛠,中古：歌,,
,,瘸,中古：歌,,
,,𦣛,中古：歌,,
,,麻,中古：麻,,
,,犘,中古：麻,,
,,蟆,中古：麻,,
,,𪓹,中古：麻,,
,,𩔶,中古：麻,,
,,痲,中古：麻,,
,,𥂓,中古：麻,,
,,㦄,中古：麻,,
,,車,中古：麻,,
,,硨,中古：麻,,
,,奢,中古：麻,,
,,賒,中古：麻,,
,,畬,中古：麻,,
,,邪,中古：麻,,
,,耶,中古：麻,,
,,瑘,中古：麻,,
,,釾,中古：麻,,
,,鎁,中古：麻,,
,,椰,中古：麻,,
,,擨,中古：麻,,
,,斜,中古：麻,,
,,䓉,中古：麻,,
,,𦰳,中古：麻,,
,,䔑,中古：麻,,
,,𦭿,中古：麻,,
,,𥯘,中古：麻,,
,,遮,中古：麻,,
,,𠌮,中古：麻,,
,,㸙,中古：麻,,
,,諸,中古：麻,,
,,嗟,中古：麻,,
,,𧨁,中古：麻,,
,,罝,中古：麻,,
,,蒫,中古：麻,,
,,謯,中古：麻,,
,,瘥,中古：麻,,
,,𨲠,中古：麻,,
,,袓,中古：麻,,
,,㜘,中古：麻,,
,,怚,中古：麻,,
,,𣩈,中古：麻,,
,,䦈,中古：麻,,
,,蛇,中古：麻,,
,,虵,中古：麻,,
,,荼,中古：麻,,
,,華,中古：麻,,
,,驊,中古：麻,,
,,鷨,中古：麻,,
,,𧑍,中古：麻,,
,,鋘,中古：麻,,
,,鏵,中古：麻,,
,,釫,中古：麻,,
,,樺,中古：麻,,
,,崋,中古：麻,,
,,划,中古：麻,,
,,瓜,中古：麻,,
,,騧,中古：麻,,
,,緺,中古：麻,,
,,婐,中古：麻,,
,,蝸,中古：麻,,
,,媧,中古：麻,,
,,㧓,中古：麻,,
,,華,中古：麻,,
,,花,中古：麻,,
,,譁,中古：麻,,
,,𧪮,中古：麻,,
,,誇,中古：麻,,
,,䠸,中古：麻,,
,,夸,中古：麻,,
,,姱,中古：麻,,
,,跨,中古：麻,,
,,胯,中古：麻,,
,,𠇗,中古：麻,,
,,䯞,中古：麻,,
,,拏,中古：麻,,
,,詉,中古：麻,,
,,挐,中古：麻,,
,,摣,中古：麻,,
,,蒘,中古：麻,,
,,𧘽,中古：麻,,
,,𧦮,中古：麻,,
,,笯,中古：麻,,
,,嘉,中古：麻,,
,,家,中古：麻,,
,,加,中古：麻,,
,,葭,中古：麻,,
,,笳,中古：麻,,
,,麚,中古：麻,,
,,䴥,中古：麻,,
,,豭,中古：麻,,
,,猳,中古：麻,,
,,痂,中古：麻,,
,,鴐,中古：麻,,
,,枷,中古：麻,,
,,袈,中古：麻,,
,,𣮫,中古：麻,,
,,跏,中古：麻,,
,,𨔣,中古：麻,,
,,𤠙,中古：麻,,
,,𧉪,中古：麻,,
,,茄,中古：麻,,
,,迦,中古：麻,,
,,珈,中古：麻,,
,,瘕,中古：麻,,
,,犌,中古：麻,,
,,幏,中古：麻,,
,,貑,中古：麻,,
,,蟼,中古：麻,,
,,遐,中古：麻,,
,,蝦,中古：麻,,
,,鍜,中古：麻,,
,,霞,中古：麻,,
,,瑕,中古：麻,,
,,騢,中古：麻,,
,,鰕,中古：麻,,
,,䠍,中古：麻,,
,,䫗,中古：麻,,
,,碬,中古：麻,,
,,䪗,中古：麻,,
,,𩋥,中古：麻,,
,,赮,中古：麻,,
,,蕸,中古：麻,,
,,葩,中古：麻,,
,,鈀,中古：麻,,
,,妑,中古：麻,,
,,蚆,中古：麻,,
,,吧,中古：麻,,
,,舥,中古：麻,,
,,𧣃,中古：麻,,
,,鴉,中古：麻,,
,,鵶,中古：麻,,
,,錏,中古：麻,,
,,㝞,中古：麻,,
,,椏,中古：麻,,
,,丫,中古：麻,,
,,䃁,中古：麻,,
,,𠜲,中古：麻,,
,,巴,中古：麻,,
,,鈀,中古：麻,,
,,笆,中古：麻,,
,,豝,中古：麻,,
,,芭,中古：麻,,
,,㿬,中古：麻,,
,,蚆,中古：麻,,
,,吧,中古：麻,,
,,叉,中古：麻,,
,,杈,中古：麻,,
,,差,中古：麻,,
,,靫,中古：麻,,
,,鎈,中古：麻,,
,,䐤,中古：麻,,
,,𠞊,中古：麻,,
,,艖,中古：麻,,
,,䑡,中古：麻,,
,,鯊,中古：麻,,
,,魦,中古：麻,,
,,沙,中古：麻,,
,,砂,中古：麻,,
,,裟,中古：麻,,
,,㲚,中古：麻,,
,,桬,中古：麻,,
,,紗,中古：麻,,
,,髿,中古：麻,,
,,𩊮,中古：麻,,
,,硰,中古：麻,,
,,牙,中古：麻,,
,,衙,中古：麻,,
,,芽,中古：麻,,
,,齖,中古：麻,,
,,呀,中古：麻,,
,,枒,中古：麻,,
,,吾,中古：麻,,
,,樝,中古：麻,,
,,柤,中古：麻,,
,,𦳏,中古：麻,,
,,㪥,中古：麻,,
,,䶥,中古：麻,,
,,皻,中古：麻,,
,,抯,中古：麻,,
,,溠,中古：麻,,
,,渣,中古：麻,,
,,𤹡,中古：麻,,
,,𥡧,中古：麻,,
,,浾,中古：麻,,
,,𡨀,中古：麻,,
,,䠧,中古：麻,,
,,荼,中古：麻,,
,,䣝,中古：麻,,
,,𣘻,中古：麻,,
,,茶,中古：麻,,
,,秅,中古：麻,,
,,𡝐,中古：麻,,
,,𤶠,中古：麻,,
,,𦛝,中古：麻,,
,,𥥸,中古：麻,,
,,塗,中古：麻,,
,,𨼑,中古：麻,,
,,梌,中古：麻,,
,,䅊,中古：麻,,
,,衺,中古：麻,,
,,斜,中古：麻,,
,,邪,中古：麻,,
,,䔑,中古：麻,,
,,闍,中古：麻,,
,,余,中古：麻,,
,,鉈,中古：麻,,
,,鍦,中古：麻,,
,,𥍸,中古：麻,,
,,窊,中古：麻,,
,,洼,中古：麻,,
,,畖,中古：麻,,
,,蛙,中古：麻,,
,,窪,中古：麻,,
,,哇,中古：麻,,
,,髽,中古：麻,,
,,檛,中古：麻,,
,,簻,中古：麻,,
,,𥬲,中古：麻,,
,,膼,中古：麻,,
,,爬,中古：麻,,
,,杷,中古：麻,,
,,琶,中古：麻,,
,,楂,中古：麻,,
,,查,中古：麻,,
,,槎,中古：麻,,
,,䶥,中古：麻,,
,,㢒,中古：麻,,
,,苴,中古：麻,,
,,侘,中古：麻,,
,,哆,中古：麻,,
,,𤵾,中古：麻,,
,,㗬,中古：麻,,
,,奓,中古：麻,,
,,𧬅,中古：麻,,
,,觰,中古：麻,,
,,䅊,中古：麻,,
,,𤶠,中古：麻,,
,,咤,中古：麻,,
,,𪗭,中古：麻,,
,,䐒,中古：麻,,
,,煆,中古：麻,,
,,呀,中古：麻,,
,,谺,中古：麻,,
,,疨,中古：麻,,
,,岈,中古：麻,,
,,颬,中古：麻,,
,,䶗,中古：麻,,
,,㤉,中古：麻,,
,,𡤫,中古：麻,,
,,㚗,中古：麻,,
,,若,中古：麻,,
,,婼,中古：麻,,
,,些,中古：麻,,
,,爹,中古：麻,,
,,𣢉,中古：麻,,
,,𩨾,中古：麻,,
,,𣘟,中古：麻,,
,,陽,中古：陽,,
,,暘,中古：陽,,
,,楊,中古：陽,,
,,揚,中古：陽,,
,,颺,中古：陽,,
,,昜,中古：陽,,
,,羊,中古：陽,,
,,样,中古：陽,,
,,眻,中古：陽,,
,,佯,中古：陽,,
,,詳,中古：陽,,
,,徉,中古：陽,,
,,洋,中古：陽,,
,,烊,中古：陽,,
,,煬,中古：陽,,
,,鍚,中古：陽,,
,,𩋬,中古：陽,,
,,輰,中古：陽,,
,,敭,中古：陽,,
,,瘍,中古：陽,,
,,鴹,中古：陽,,
,,鰑,中古：陽,,
,,鸉,中古：陽,,
,,蛘,中古：陽,,
,,禓,中古：陽,,
,,崵,中古：陽,,
,,諹,中古：陽,,
,,瑒,中古：陽,,
,,𥂸,中古：陽,,
,,𦭵,中古：陽,,
,,𦍹,中古：陽,,
,,詳,中古：陽,,
,,洋,中古：陽,,
,,翔,中古：陽,,
,,庠,中古：陽,,
,,祥,中古：陽,,
,,𨀘,中古：陽,,
,,𦍙,中古：陽,,
,,痒,中古：陽,,
,,良,中古：陽,,
,,梁,中古：陽,,
,,粱,中古：陽,,
,,粮,中古：陽,,
,,糧,中古：陽,,
,,涼,中古：陽,,
,,凉,中古：陽,,
,,𩗬,中古：陽,,
,,量,中古：陽,,
,,蜋,中古：陽,,
,,踉,中古：陽,,
,,椋,中古：陽,,
,,䝶,中古：陽,,
,,綡,中古：陽,,
,,𣄴,中古：陽,,
,,㹁,中古：陽,,
,,䣼,中古：陽,,
,,輬,中古：陽,,
,,香,中古：陽,,
,,皀,中古：陽,,
,,薌,中古：陽,,
,,鄉,中古：陽,,
,,膷,中古：陽,,
,,商,中古：陽,,
,,𧶜,中古：陽,,
,,傷,中古：陽,,
,,𥏻,中古：陽,,
,,殤,中古：陽,,
,,慯,中古：陽,,
,,觴,中古：陽,,
,,湯,中古：陽,,
,,蔏,中古：陽,,
,,𪄲,中古：陽,,
,,螪,中古：陽,,
,,㲽,中古：陽,,
,,䵮,中古：陽,,
,,禓,中古：陽,,
,,饟,中古：陽,,
,,䵼,中古：陽,,
,,塲,中古：陽,,
,,𤳈,中古：陽,,
,,房,中古：陽,,
,,防,中古：陽,,
,,坊,中古：陽,,
