字號,字,韻部,聲調,字母,清濁,寧繼福擬音,url
61,弓,東鍾,陰平,見,全清,kuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
62,躬,東鍾,陰平,見,全清,kuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
63,恭,東鍾,陰平,見,全清,kuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
64,宮,東鍾,陰平,見,全清,kuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
65,供,東鍾,陰平,見,全清,kuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
66,肱,東鍾,陰平,見,全清,kuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
67,觥,東鍾,陰平,見,全清,kuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
68,烘,東鍾,陰平,曉,全清,xuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
69,叿,東鍾,陰平,曉,全清,xuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
70,轟,東鍾,陰平,曉,全清,xuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
71,薨,東鍾,陰平,曉,全清,xuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
72,凶,東鍾,陰平,曉,全清,xiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
73,兇,東鍾,陰平,曉,全清,xiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
74,胷,東鍾,陰平,曉,全清,xiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
75,洶,東鍾,陰平,曉,全清,xiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
76,兄,東鍾,陰平,曉,全清,xiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
77,翁,東鍾,陰平,影,全清,uŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
78,䩺,東鍾,陰平,影,全清,uŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
79,癰,東鍾,陰平,影,全清,uŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
80,廱,東鍾,陰平,影,全清,uŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
81,壅,東鍾,陰平,影,全清,uŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
82,泓,東鍾,陰平,影,全清,uŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
83,崩,東鍾,陰平,幫,全清,puŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
84,繃,東鍾,陰平,幫,全清,puŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
85,烹,東鍾,陰平,滂,次清,pʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
86,同,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
87,膧,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
88,筒,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
89,銅,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
90,桐,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
91,峒,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
92,童,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
93,僮,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
94,曈,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
95,瞳,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
96,潼,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
97,鼕,東鍾,陽平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
98,戎,東鍾,陽平,日,次濁,ɽiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
99,茙,東鍾,陽平,日,次濁,ɽiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
100,駥,東鍾,陽平,日,次濁,ɽiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
101,絨,東鍾,陽平,日,次濁,ɽiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
102,茸,東鍾,陽平,日,次濁,ɽiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
103,龍,東鍾,陽平,來,次濁,liuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
104,隆,東鍾,陽平,來,次濁,liuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
105,癃,東鍾,陽平,來,次濁,liuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
106,窿,東鍾,陽平,來,次濁,liuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
107,窮,東鍾,陽平,溪,次清,kʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
108,藭,東鍾,陽平,溪,次清,kʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
109,蛩,東鍾,陽平,溪,次清,kʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
110,卭,東鍾,陽平,溪,次清,kʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
111,笻,東鍾,陽平,溪,次清,kʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
112,曨,東鍾,陽平,來,次濁,luŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
113,朧,東鍾,陽平,來,次濁,luŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
114,櫳,東鍾,陽平,來,次濁,luŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
115,瓏,東鍾,陽平,來,次濁,luŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
116,豅,東鍾,陽平,來,次濁,luŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
117,礱,東鍾,陽平,來,次濁,luŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
118,聾,東鍾,陽平,來,次濁,luŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
119,嚨,東鍾,陽平,來,次濁,luŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
120,膿,東鍾,陽平,泥,次濁,nuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
121,農,東鍾,陽平,泥,次濁,nuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
122,儂,東鍾,陽平,泥,次濁,nuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
123,濃,東鍾,陽平,泥,次濁,niuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
124,穠,東鍾,陽平,泥,次濁,niuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
125,醲,東鍾,陽平,泥,次濁,nuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
126,重,東鍾,陽平,穿,次清,ʈʂʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
127,蟲,東鍾,陽平,穿,次清,ʈʂʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
128,慵,東鍾,陽平,穿,次清,ʈʂʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
129,鱅,東鍾,陽平,穿,次清,ʈʂʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
130,崇,東鍾,陽平,穿,次清,ʈʂʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
131,馮,東鍾,陽平,非,全清,fuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
132,逢,東鍾,陽平,非,全清,fuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
133,縫,東鍾,陽平,非,全清,fuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
134,叢,東鍾,陽平,清,次清,tsʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
135,䕺,東鍾,陽平,清,次清,tsʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
136,琮,東鍾,陽平,清,次清,tsʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
137,熊,東鍾,陽平,曉,全清,xiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
138,雄,東鍾,陽平,曉,全清,xiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
139,墉,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
140,容,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
141,鏞,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
142,溶,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
143,蓉,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
144,鎔,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
145,瑢,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
146,庸,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
147,傭,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
148,鄘,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
149,融,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
150,榮,東鍾,陽平,影,全清,iuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663b.png
